Mean,Nice,Random,Ditto
258.8125,432.125,329,430.0625
256.125,429.3125,333.5,419.75
258.125,423.6875,325.9375,392.6875
269.25,396.625,340.25,419.0625
252.1875,397,344.8125,413.5
264.5,430.125,352.8125,415.5
270.5625,432.1875,335.125,430.6875
270.25,440.375,326.8125,421.4375
254,435.1875,321.6875,411.9375
271.5,408.8125,333.625,417.9375
267.8125,420.375,336.1875,421.1875
287.1875,416.8125,338.625,451.9375
265.5625,415.75,322.375,432.3125
261,408.6875,319.6875,420.625
260.25,415.1875,319.875,440.875
259,404.6875,333.375,416
277.25,435.375,331.6875,424.625
243.75,432.5,318.25,408.3125
296,403.1875,340.625,443.75
254,398.9375,345.625,439.625
277.6875,401.75,333.8125,395.375
256.5,411.1875,328.9375,409.25
270,413.3125,338.25,443.3125
275.125,424.75,334.875,429
254.3125,433.875,324.625,417.875
277.3125,434.375,340.0625,427.8125
275.375,430.9375,328.8125,423.1875
263.375,423.1875,326.8125,405.875
286.75,417.125,357.3125,425.5
258.3125,427.4375,334.5,444.125
266.375,421,344.875,431.625
238.625,417.3125,328.0625,406.6875
281.125,441.9375,354.5625,428.625
294.0625,424.0625,332.0625,409.75
266.875,405,335.875,443
281.75,424.875,341,430.875
261.4375,417.375,349,440.9375
264.6875,420.75,331.25,399.4375
268.0625,420.75,343.75,409.9375
269.8125,414.6875,340.8125,447.5
275.125,417.25,324.125,435.625
